method,file,file_size,store_time_sec,logical_size,physical_size,saving_ratio,chunk_count_total,chunk_count_unique
fixed,base.bin,4194304,0.041,4194304,4096,0.999,1024,1
fixed,same_as_base.bin,4194304,0.043,4194304,4096,0.999,1024,1
fixed,inserted_prefix.bin,4194404,0.043,4194404,8292,0.998,1025,3
fixed,inserted_middle.bin,4194404,0.044,4194404,8292,0.998,1025,3
fixed,random.bin,4194304,0.458,4194304,4194304,0.0,1024,1024
cdc,base.bin,4194304,2.186,4194304,8192,0.998,512,1
cdc,same_as_base.bin,4194304,2.203,4194304,8192,0.998,512,1
cdc,inserted_prefix.bin,4194404,2.207,4194404,16484,0.9961,513,3
cdc,inserted_middle.bin,4194404,2.21,4194404,16484,0.9961,513,3
cdc,random.bin,4194304,2.673,4194304,4194304,0.0,824,824
